Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8214,0.8438,0.5455,0.6429,0.5902,0.477,0.4796
0.8143,0.8396,0.5455,0.6207,0.5806,0.462,0.4636
0.8643,0.8972,0.697,0.7188,0.7077,0.6193,0.6195
0.8643,0.8791,0.6061,0.7692,0.678,0.5935,0.6003
0.8714,0.8958,0.6364,0.7778,0.7,0.6192,0.6243
0.8714,0.8357,0.5455,0.8571,0.6667,0.5918,0.615
0.8643,0.8846,0.6061,0.7692,0.678,0.5935,0.6003
0.8857,0.8964,0.6471,0.8462,0.7333,0.6622,0.6719
0.8714,0.8753,0.6176,0.8077,0.7,0.62,0.6291
0.8643,0.9082,0.6176,0.7778,0.6885,0.6032,0.6098
0.8593,0.8756,0.6064,0.7587,0.6723,0.5842,0.5913
0.0217,0.0252,0.0471,0.074,0.0469,0.0607,0.063
