Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8571,0.873,0.5758,0.76,0.6552,0.5672,0.5759
0.8286,0.8401,0.5152,0.68,0.5862,0.4807,0.488
0.8786,0.8995,0.6667,0.7857,0.7213,0.6444,0.6479
0.8714,0.9,0.6364,0.7778,0.7,0.6192,0.6243
0.8714,0.9065,0.5758,0.8261,0.6786,0.6014,0.6167
0.8929,0.8434,0.6061,0.9091,0.7273,0.6639,0.685
0.8643,0.8754,0.5758,0.7917,0.6667,0.5841,0.5958
0.8786,0.8865,0.6176,0.84,0.7119,0.6372,0.6493
0.9071,0.8998,0.6471,0.9565,0.7719,0.7163,0.7379
0.9,0.9498,0.6765,0.8846,0.7667,0.7045,0.7147
0.875,0.8874,0.6093,0.8211,0.6986,0.6219,0.6336
0.0215,0.0304,0.0472,0.0762,0.0524,0.0656,0.0685
