Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.7028,0.8756,0.8644,0.4301,0.5744,0.3834,0.4387
0.702,0.873,0.8588,0.4289,0.5721,0.3803,0.4345
0.7006,0.8728,0.8624,0.4279,0.572,0.3796,0.4349
0.7028,0.8722,0.8517,0.4292,0.5707,0.3792,0.4315
0.6979,0.8737,0.8642,0.4256,0.5703,0.3764,0.4328
0.6995,0.8769,0.8714,0.4275,0.5736,0.3809,0.4388
0.703,0.8762,0.8607,0.43,0.5735,0.3824,0.4367
0.7012,0.8724,0.8631,0.4285,0.5726,0.3806,0.436
0.6978,0.8745,0.8632,0.4254,0.5699,0.3759,0.4321
0.6979,0.8718,0.8609,0.4253,0.5693,0.3753,0.4309
0.7005,0.8739,0.8621,0.4278,0.5718,0.3794,0.4347
0.002,0.0017,0.0047,0.0018,0.0016,0.0026,0.0027
